Hospital,Address,Phone Number,Category,Latitude,Longitude
Apollo Hospital,"NO. 21, Greams Lane, Chennai-600006",044-28290200,Pvt Hospital,12.687270059423682,80.1460723242676
Billroth Hospital,"No. 43, Lakshmi Talkies Road, Shenoy Nagar, Chennai - 600030",26641777,Pvt Hospital,12.975357153204959,80.18318092164685
C.S.I. Kalyani Hospital,"NO. 15, Dr. Radhakrishnan Salai, Mylapore, Chennai-600004",28476433,Pvt Hospital,12.865996970905703,80.22803499210852
Dr. Mehta's Hospital,"No. 2, McNichols Road, 3rd Lane, Chetpet, Chennai-600031",42271001,Pvt Hospital,12.79932924209852,80.3925879806965
Fortis Malar Hospital,"No. 52, 1st Main Road, Gandhi Nagar, Adyar, Chennai - 600020",044-42892222,Pvt Hospital,12.578009320221218,80.09983689107918
Government General Hospital,"Poonamallee High Road, Park Town, Chennai-600003",044-25305000,Govt Hospital,12.577997260168102,80.2571172192068
Government Kilpauk Hospital,"Kilpauk, Chennai - 600010",044-28364951,Govt Hospital,12.5290418060841,80.29620728443102
Govt Hospital for Thoracic Medicine,"Tambaram Sanatorium, Chennai - 600047",044-22418450,Govt Hospital,12.933088072887468,80.02322520636
Govt Kasturba Hospital for Women,"Triplicane, Chennai - 600005",044-28545449,Govt Hospital,12.800557505871604,80.30377242595073
Govt Multi Super Speciality Hospital,"Omandurar Govt Estate, Chennai - 600012",044-25666000,Govt Hospital,12.854036288898023,80.08526206184365
Govt Royapettah Hospital,"No. 1, West Cott Road, Chennai - 600014",044-28483051,Govt Hospital,12.510292247147902,80.03252579649264
Govt Stanley Hospital,"Old Jail Road, Chennai - 600001",044-25281347,Govt Hospital,12.984954926080997,80.47444276862667
Institute of Child Health and Hospital for Children,"Halls Road, Egmore, Chennai - 600008",044-28191135,Govt Hospital,12.916221320400211,80.48281601653729
Madras Medical Mission Hospital,"4-A, Dr. J. Jayalalitha Nagar, Mogappair, Chennai - 600037",26565961,Pvt Hospital,12.606169555339138,80.40419867405824
MIOT Hospital,"4/112, Mount Poonamallee Road, Manapakkam, Chennai - 600089",22492288,Pvt Hospital,12.59091248360355,80.15230688458668
R.S.R.M. Lying-In Hospital,"Cemetery Road, Chennai - 600013",044-25902961,Govt Hospital,12.591702254926718,80.04883605700319
Sankara Nethralaya,"No. 18, College Road, Nungambakkam, Chennai - 600006",28271616,Pvt Hospital,12.65212112147977,80.34211651325607
Sooriya Hospital,"Kodambakkam Sriperumbudur Road, Vadapalani, Chennai-600026",23761750,Pvt Hospital,12.762378215816119,80.2200762468698
Sri Ramachandra Medical College and Research Centre,"Porur, Chennai",24768402,Pvt Hospital,12.715972509321057,80.06101911742239
St. Isabella Hospital,"Oliver Road, Mylapore, Chennai - 600004",24991081,Pvt Hospital,12.64561457009902,80.24758845505563
Sundaram Medical Foundation,"9C, Santhi Colony, 4th Avenue, Anna Nagar, Chennai - 600040",26268844,Pvt Hospital,12.80592644736119,80.0171942605576
Vijaya Hospital,"175 and 180 NSK Salai, Vadapalani, Chennai - 600026",24801642,Pvt Hospital,12.569746930326021,80.45466020103939
